name,crn,department,number,section,term,credits,start time,end time,days,start date,end date,building,room number,instructor
HON SEM: ECON OF BEER,90001,HON,301,H1,Fall 2019,-1,1:00 PM,1:55 PM,R,Aug 21 2019,Dec 13 2019,Frank Franz Hall,118,Richard E White
HON SEM: RAPID PROTOTYPING,90002,HON,301,H2,Fall 2019,-1,11:20 AM,12:15 PM,R,Aug 21 2019,Dec 13 2019,Frank Franz Hall,118,David A Chan
HON SEM: TUESDAY TALKS,90003,HON,301,H3,Fall 2019,-1,4:20 PM,5:15 PM,T,Aug 21 2019,Dec 13 2019,Frank Franz Hall,138,William S Wilkerson
HON SEM: FUTURE OF DESIGN,90004,HON,301,H4,Fall 2019,-1,9:40 AM,11:00 AM,M,Aug 21 2019,Dec 13 2019,Frank Franz Hall,118,Paul D Collopy
HONORS INTERNSHIP,90006,HON,400,H1,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,William S Wilkerson
HONORS THESIS,90007,HON,499,H1,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Konstantinos Kanistras
HONORS THESIS,90008,HON,499,H2,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Phillip M Ligrani
HONORS THESIS,90009,HON,499,H3,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Robert L McFeeters
HONORS THESIS,90010,HON,499,H4,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Aleksandar Milenkovic
HONORS THESIS,90011,HON,499,H5,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Phillip M Ligrani
HONORS THESIS,90012,HON,499,H6,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Tathagata Mukherjee
HONORS THESIS,90013,HON,499,H7,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Wafa H Orman
HONORS THESIS,90014,HON,499,H8,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Aynslee Smithee
HONORS THESIS,90015,HON,499,H9,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Brinda Mahalingam
HONORS THESIS,90016,HON,499,H10,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,William J Taylor
CO-OP WORK PERIOD,90028,OCS,0,1,Fall 2019,0,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Candace F Phillips
CO-OP PARALLEL,90029,OCS,0,2,Fall 2019,0,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Candace F Phillips
CO-OP SCHOOL PERIOD,90030,OCS,0,3,Fall 2019,0,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Candace F Phillips
CO-OP INTERNSHIP,90031,OCS,0,4,Fall 2019,0,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Candace F Phillips
CO-OP COMPLETE,90032,OCS,0,5,Fall 2019,0,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Candace F Phillips
AEROBICS,90033,HPE,100,1,Fall 2019,2,8:00 AM,8:55 AM,MW,Aug 21 2019,Dec 13 2019,University Fitness Center,103A,Gemma L Sivetz
WALK/JOG/RUN,90036,HPE,110,1,Fall 2019,1,6:00 PM,6:55 PM,MW,Aug 21 2019,Nov 01 2019,University Fitness Center,100,Jane McGuire Reneau
BUTTS & GUTS WORKOUT,90037,HPE,111,1,Fall 2019,2,9:40 AM,10:35 AM,TR,Aug 21 2019,Dec 13 2019,Spragins Hall,123,Keil E Oliver
BUTTS & GUTS WORKOUT,90038,HPE,111,2,Fall 2019,2,1:00 PM,1:55 PM,TR,Aug 21 2019,Dec 13 2019,University Fitness Center,103A,Tonya Meier Hardy
BUTTS & GUTS WORKOUT,90039,HPE,111,3,Fall 2019,2,11:20 AM,12:15 PM,MW,Aug 21 2019,Dec 13 2019,Spragins Hall,123,James K Ballamy
WEIGHT TRAINING,90041,HPE,117,2,Fall 2019,2,9:40 AM,10:35 AM,MW,Aug 21 2019,Dec 13 2019,University Fitness Center,103,Keil E Oliver
WEIGHT TRAINING,90042,HPE,117,3,Fall 2019,2,1:00 PM,1:55 PM,MW,Aug 21 2019,Dec 13 2019,University Fitness Center,103,Christy D Scott
WEIGHT TRAINING,90044,HPE,117,5,Fall 2019,2,9:40 AM,10:35 AM,TR,Aug 21 2019,Dec 13 2019,University Fitness Center,103,Crystal Jean Harris
WEIGHT TRAINING,90045,HPE,117,6,Fall 2019,2,2:40 PM,3:35 PM,TR,Aug 21 2019,Dec 13 2019,University Fitness Center,103,Gemma L Sivetz
WEIGHT TRAINING FOR WOMEN,90046,HPE,117,7,Fall 2019,2,11:20 AM,12:15 PM,TR,Aug 21 2019,Dec 13 2019,University Fitness Center,103,Keil E Oliver
SWIMMING,90047,HPE,120,1,Fall 2019,1,6:15 AM,7:10 AM,MW,Aug 21 2019,Nov 01 2019,University Fitness Center,111,Ashley L Carpenter
LADIES SELF-DEFENSE,90048,HPE,127,1,Fall 2019,1,6:00 PM,6:55 PM,TR,Aug 21 2019,Nov 01 2019,Spragins Hall,123,Jonathan K Copeland
KARATE,90050,HPE,130,1,Fall 2019,2,11:20 AM,12:15 PM,TR,Aug 21 2019,Dec 13 2019,Spragins Hall,123,Robert L Barefield
YOGA,90052,HPE,136,1,Fall 2019,1,8:00 AM,8:55 AM,MW,Aug 21 2019,Nov 01 2019,University Fitness Center,114,Angela K Barnes
YOGA,90053,HPE,136,2,Fall 2019,1,1:00 PM,1:55 PM,MW,Aug 21 2019,Nov 01 2019,Spragins Hall,123,Suzanne Marie Newton
YOGA,90054,HPE,136,3,Fall 2019,1,8:00 AM,8:55 AM,TR,Aug 21 2019,Nov 01 2019,University Fitness Center,114,Angela K Barnes
YOGA,90055,HPE,136,4,Fall 2019,1,2:40 PM,3:35 PM,MW,Aug 21 2019,Nov 01 2019,University Fitness Center,114,Angela K Barnes
YOGA,90056,HPE,136,5,Fall 2019,1,9:40 AM,10:35 AM,TR,Aug 21 2019,Nov 01 2019,University Fitness Center,114,Angela K Barnes
JUDO/JUJITSU,90057,HPE,137,1,Fall 2019,2,4:20 PM,5:15 PM,TR,Aug 21 2019,Dec 13 2019,Spragins Hall,123,Jonathan K Copeland
BALLROOM DANCE,90058,HPE,140,1,Fall 2019,2,12:40 PM,2:40 PM,F,Aug 21 2019,Dec 13 2019,University Fitness Center,103A,Sandra N Watts
RACQUETBALL,90059,HPE,150,1,Fall 2019,2,6:00 PM,6:55 PM,TR,Aug 21 2019,Dec 13 2019,Spragins Hall,RCOURT,Mark A Roller
TENNIS,90060,HPE,153,1,Fall 2019,1,11:20 AM,12:15 PM,MW,Sep 16 2019,Dec 13 2019,Spragins Hall,TCOURT,Paul Alan Thomson
BASKETBALL,90061,HPE,169,1,Fall 2019,1,1:00 PM,1:55 PM,TR,Aug 21 2019,Nov 01 2019,Spragins Hall,GYM,Spencer R Palmer
VOLLEYBALL,90062,HPE,170,1,Fall 2019,1,11:20 AM,12:15 PM,MW,Aug 21 2019,Nov 01 2019,Spragins Hall,GYM,Ceciley P Blanchard
APPL COMPUTERS IN METEOROLOGY,90063,ATS,509,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Phillip M Bitzer
SCI PROGRMNG FOR EARTH & ATMOS,90064,ESS,409,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Phillip M Bitzer
SCI PROGRMNG FOR EARTH & ATMOS,90065,ESS,509,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Phillip M Bitzer
OPERATIONAL WEATHER FORECAST'G,90066,ATS,510,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Ryan A Wade
OPERATIONAL WEATHER FORECAST'G,90067,ESS,410,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Ryan A Wade
ATM THERMODYN & CLOUD PHYSICS,90068,ATS,541,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Kevin R Knupp
ATMOSP THERMODY & CLOUD PHYSIC,90069,ESS,441,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Kevin R Knupp
ATMOS FLUID DYNAMICS I,90070,ATS,551,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Udaysankar S Nair
ATMOSPHERIC FLUID DYNAMICS I,90071,ESS,451,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Udaysankar S Nair
PHYSICAL CLIMATOLOGY,90074,ATS,630,1,Fall 2019,3,9:40 AM,10:35 AM,MWF,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,John R Christy
PHYSICAL CLIMATOLOGY,90075,ESS,630,1,Fall 2019,3,9:40 AM,10:35 AM,MWF,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,John R Christy
ATMOSPHERIC SCIENCE SEMINAR,90080,ATS,780,1,Fall 2019,1,1:00 PM,2:20 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Shanhu Lee
STUDENT SEMINAR,90081,ATS,781,1,Fall 2019,1,1:00 PM,2:20 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Shanhu Lee
SEMINAR,90082,ESS,780,1,Fall 2019,1,1:00 PM,2:20 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Shanhu Lee
STUDENT SEMINAR,90083,ESS,781,1,Fall 2019,1,1:00 PM,2:20 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Shanhu Lee
PROFESSIONAL DEVELOPMENT,90084,ATS,782,1,Fall 2019,1,11:00 AM,12:00 PM,F,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Udaysankar S Nair
PROFESSIONAL DEVELOPMENT,90085,ESS,782,1,Fall 2019,1,11:00 AM,12:00 PM,F,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Udaysankar S Nair
INTRO TO EARTH & ATMOSPHC PHYS,90086,ESS,301,1,Fall 2019,3,1:00 PM,2:20 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Qingyuan Han
ENVIRONMENTAL ARCHEOLOGY,90087,ESS,307,1,Fall 2019,3,8:00 AM,9:20 AM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Thomas L Sever
POLLUTION PROBLEMS,90088,ESS,321,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Michael J Newchurch
DYNAMIC METEOROLOGY,90089,ESS,351,1,Fall 2019,3,11:20 AM,12:40 PM,MW,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Ryan A Wade
SCI & SOC ASPTS NATRL DISASTER,90090,ESS,402,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Amanda M Markert
SCI & SOC ASPTS NATRL DISASTER,90091,ESS,502,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,John R Mecikalski
GEOSPATIAL APPLICATIONS,90092,ESS,414,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Megan Sirbaugh
GEOSPATIAL APPLICATIONS,90093,ESS,514,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4085,Robert Edwards Griffin
RESEARCH & PROF DEV CAPSTONE,90094,ESS,498,1,Fall 2019,1,1:30 PM,2:30 PM,F,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Leiqiu Hu
ENERGY; CLIMATE; ENVIRONMENT,90095,ESS,632,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Cramer Research Hall,4065,Qingyuan Han
UNDERGRADUATE RESEARCH,90097,ESS,499,1,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,TBA,TBA,Robert Edwards Griffin
INTRO COMPUTER PROG FOR ENGR,90098,CPE,211,1,Fall 2019,3,1:00 PM,2:20 PM,TR,Aug 21 2019,Dec 13 2019,Business Administration Bldg,114,Ronald D Bowman
INTRO COMPUTER PROG FOR ENGR,90099,CPE,211,2,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Business Administration Bldg,114,Ronald D Bowman
LABORATORY,90100,CPE,211L,1,Fall 2019,0,4:20 PM,5:20 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,246,Ronald D Bowman
LABORATORY,90101,CPE,211L,2,Fall 2019,0,9:40 AM,10:40 AM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,246,Ronald D Bowman
LABORATORY,90102,CPE,211L,3,Fall 2019,0,9:40 AM,10:40 AM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,246,Ronald D Bowman
LABORATORY,90103,CPE,211L,4,Fall 2019,0,11:20 AM,12:20 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,246,Ronald D Bowman
FUNDAMENTALS SOFTWARE ENGRG,90104,CPE,212,1,Fall 2019,3,1:00 PM,2:20 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,246,Jeffrey H Kulick
COMPUTER ORGANIZATION,90106,CPE,221,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,105,Rhonda K Gaede
INTRO TO EMBEDDED COMPUTER SYS,90107,CPE,323,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Technology Hall,S105,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90108,CPE,325,1,Fall 2019,1,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90109,CPE,325,2,Fall 2019,1,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90110,CPE,325,3,Fall 2019,1,4:20 PM,7:20 PM,F,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90111,CPE,325,4,Fall 2019,1,4:20 PM,5:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90112,CPE,325,5,Fall 2019,1,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90113,CPE,325,6,Fall 2019,1,9:40 AM,11:00 AM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90114,CPE,325,7,Fall 2019,1,8:00 AM,9:20 AM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,90115,CPE,325,8,Fall 2019,1,8:00 AM,9:20 AM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,106,Aleksandar Milenkovic
SOFTWARE DESIGN & ENGINEERING,90116,CPE,353,1,Fall 2019,3,4:20 PM,5:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,246,David J Coe
SOFTWARE DESIGN & ENGINEERING,90117,CPE,353,2,Fall 2019,3,6:00 PM,7:20 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,246,David J Coe
FUND SIGNALS & SYS FOR COMP EN,90118,CPE,381,1,Fall 2019,3,11:20 AM,12:40 PM,MW,Aug 21 2019,Dec 13 2019,Materials Science Building,112,Emil Jovanov
INTRO TO PARALLEL PROGRAMMING,90119,CPE,412,1,Fall 2019,3,1:00 PM,2:20 PM,TR,Aug 21 2019,Dec 13 2019,Business Administration Bldg,229,Buren E Wells
INTRO PARALLEL PROGRAMMING,90120,CPE,512,1,Fall 2019,3,1:00 PM,2:20 PM,TR,Aug 21 2019,Dec 13 2019,Business Administration Bldg,229,Buren E Wells
INTRO PARALLEL PROGRAMMING,90121,CPE,512,91,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Buren E Wells
INTRO COMPUTER ARCHITECTURE,90126,CPE,431,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,M Louis Salmon Library,111,Rhonda K Gaede
INTRO COMPUTER ARCHITECTURE,90127,CPE,531,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,M Louis Salmon Library,111,Rhonda K Gaede
INTRO COMPUTER ARCHITECTURE,90128,CPE,531,91,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Rhonda K Gaede
INTRO TO CYBERSECURITY ENGINRG,90130,CPE,449,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,203,Thomas H Morris
INTRO TO CYBERSECURITY ENGINRG,90131,CPE,549,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,203,Thomas H Morris
INTRO TO CYBERSECURITY ENGINRG,90132,CPE,549,91,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Thomas H Morris
INTRO CYBERSECURITY ENG LAB,90133,CPE,449L,1,Fall 2019,0,7:40 PM,9:00 PM,M,Aug 21 2019,Dec 13 2019,Engineering Building,107,Thomas H Morris
INTRO CYBERSECURITY ENG LAB,90134,CPE,549L,1,Fall 2019,0,7:40 PM,9:00 PM,M,Aug 21 2019,Dec 13 2019,Engineering Building,107,Thomas H Morris
INTRO CYBERSECURITY ENG LAB,90135,CPE,449L,2,Fall 2019,0,7:40 PM,9:00 PM,W,Aug 21 2019,Dec 13 2019,Engineering Building,107,Thomas H Morris
INTRO CYBERSECURITY ENG LAB,90136,CPE,549L,2,Fall 2019,0,7:40 PM,9:00 PM,W,Aug 21 2019,Dec 13 2019,Engineering Building,107,Thomas H Morris
ST: HARDWARE SECURITY & TRUST,90137,CPE,490,2,Fall 2019,3,11:20 AM,12:40 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,134,M Tauhidur Rahman
ST: HARDWARE SECURITY & TRUST,90138,CPE,590,2,Fall 2019,3,11:20 AM,12:40 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,134,M Tauhidur Rahman
COMPUTER ENGINEERING DESIGN I,90139,CPE,495,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,205,Buren E Wells
INTRO CYBERSECURITY ENG LAB,90141,CPE,549L,91,Fall 2019,0,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Thomas H Morris
ADVANCED EMBEDDED SYSTEMS,90142,CPE,621,1,Fall 2019,3,4:20 PM,5:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,205,Emil Jovanov
COMPUTER NETWORK SECURITY,90143,CPE,645,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Technology Hall,N152,Seong-Moo Yoo
COMPUTER NETWORK SECURITY,90144,CPE,645,91,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Seong-Moo Yoo
SOFTWARE ENGRG STUDIO I,90145,CPE,656,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,122,Jeffrey H Kulick
SOFTWARE ENGRG STUDIO I,90146,CPE,656,91,Fall 2019,3,TBA,TBA,TBA,Aug 21 2019,Dec 13 2019,Online Course,ONLINE,Jeffrey H Kulick
INTRO DIGITAL LOGIC DSGN,90147,EE,202,1,Fall 2019,3,1:00 PM,2:20 PM,TR,Aug 21 2019,Dec 13 2019,Technology Hall,N155,Casey A Cain
INTRO DIGITAL LOGIC DSGN,90148,EE,202,2,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Technology Hall,S105,Seong-Moo Yoo
DIGITAL LOGIC DESIGN LAB,90149,EE,203,1,Fall 2019,1,6:00 PM,9:00 PM,M,Aug 21 2019,Dec 13 2019,Engineering Building,227,Dennis W Hite
DIGITAL LOGIC DESIGN LAB,90150,EE,203,2,Fall 2019,1,6:00 PM,9:00 PM,T,Aug 21 2019,Dec 13 2019,Engineering Building,227,Dennis W Hite
DIGITAL LOGIC DESIGN LAB,90151,EE,203,3,Fall 2019,1,1:00 PM,4:00 PM,W,Aug 21 2019,Dec 13 2019,Engineering Building,227,Dennis W Hite
ELECTRICAL CIRCUIT ANALYSIS I,90152,EE,213,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,109,Ronald D Bowman
ELECTRICAL CIRCUIT ANALYSIS I,90153,EE,213,2,Fall 2019,3,8:00 AM,9:20 AM,TR,Aug 21 2019,Dec 13 2019,Business Administration Bldg,114,Ravi S Gorur
ELECTRICAL CIRCUIT ANALYSIS I,90154,EE,213,3,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,107,Tony F Gatlin
DES & MOD ELEC CIR & SYS,90156,EE,223,1,Fall 2019,3,1:00 PM,2:20 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,109,Dennis W Hite
DES & MOD ELEC CIR & SYS,90157,EE,223,2,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,109,Dennis W Hite
ELECTRICITY & MAGNETISM,90158,EE,307,1,Fall 2019,3,8:00 AM,9:20 AM,TR,Aug 21 2019,Dec 13 2019,Materials Science Building,112,Tony F Gatlin
ELECTROMAGNETIC ENGR,90159,EE,308,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,134,Z Maria Pour
SOLID STATE FUNDAMENTALS,90160,EE,310,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Materials Science Building,112,Biswajit Ray
INTRO ELECTRONIC ANAL & DESIGN,90161,EE,315,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Technology Hall,N155,William Y Bishop
ELE CIRCUITS & ELTRNC DSGN LAB,90162,EE,316,1,Fall 2019,1,8:00 AM,11:00 AM,W,Aug 21 2019,Dec 13 2019,Engineering Building,225,Jennifer M English
ELE CIRCUITS & ELTRNC DSGN LAB,90163,EE,316,2,Fall 2019,1,6:00 PM,9:00 PM,W,Aug 21 2019,Dec 13 2019,Engineering Building,225,Jennifer M English
ELE CIRCUITS & ELTRNC DSGN LAB,90164,EE,316,3,Fall 2019,1,8:00 AM,11:00 AM,M,Aug 21 2019,Dec 13 2019,Engineering Building,225,Jennifer M English
ELE CIRCUITS & ELTRNC DSGN LAB,90165,EE,316,4,Fall 2019,1,6:00 PM,9:00 PM,M,Aug 21 2019,Dec 13 2019,Engineering Building,225,Jennifer M English
ELE CIRCUITS & ELTRNC DSGN LAB,90166,EE,316,5,Fall 2019,1,6:00 PM,9:00 PM,T,Aug 21 2019,Dec 13 2019,Engineering Building,225,Jennifer M English
ANALY METH CONTINUOUS TIME SYS,90167,EE,382,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Technology Hall,S104,Timothy B Boykin
ANALY METH MULTIVARIABLE,90169,EE,383,1,Fall 2019,3,4:20 PM,5:40 PM,TR,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,103,Aubrey N Beal
DIG SIGNAL PROCESS LAB,90170,EE,384,1,Fall 2019,1,6:00 PM,7:20 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,109,Laurie L Joiner
DIG SIGNAL PROCESS LAB,90171,EE,384,2,Fall 2019,1,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,109,Laurie L Joiner
DIG SIGNAL PROCESS LAB,90172,EE,384,3,Fall 2019,1,6:00 PM,7:20 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,109,Laurie L Joiner
RANDOM SIGNALS & NOISE,90173,EE,385,1,Fall 2019,3,2:40 PM,4:00 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,207,Laurie L Joiner
INTRO CONTROL/ROBOTIC SYS,90174,EE,386,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Shelby Science & Technology Ct,216,Craig H Newborn
ST: ANTENNA DESIGN & ANALYSIS,90176,EE,510,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,240,Z Maria Pour
INTRO DATA COMMUN NETWORKS,90177,EE,424,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,240,Laurie L Joiner
INTRO DATA COMMUNICA NETWORKS,90178,EE,504,1,Fall 2019,3,11:20 AM,12:40 PM,TR,Aug 21 2019,Dec 13 2019,Engineering Building,240,Laurie L Joiner
DIGITAL ELECTRONICS,90179,EE,436,1,Fall 2019,3,6:00 PM,7:20 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,135,Fat D Ho
DIGITAL ELECTRONICS,90180,EE,516,1,Fall 2019,3,6:00 PM,7:20 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,135,Fat D Ho
OPTOELECTRONICS,90181,EE,451,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Business Administration Bldg,223,Junpeng Guo
OPTOELECTRONICS,90182,OPE,451,1,Fall 2019,3,9:40 AM,11:00 AM,TR,Aug 21 2019,Dec 13 2019,Business Administration Bldg,223,Junpeng Guo
LASER SYSTEMS,90183,EE,453,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Wilson Hall,215,Junpeng Guo
LASER SYSTEMS,90184,EE,553,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Wilson Hall,215,Junpeng Guo
LASER SYSTEMS,90185,OPE,453,1,Fall 2019,3,2:40 PM,4:00 PM,MW,Aug 21 2019,Dec 13 2019,Wilson Hall,215,Junpeng Guo
INTRO MODERN CONTROL SYSTEMS,90186,EE,486,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,240,Yuri B Shtessel
INTRO MODERN CONTROL SYSTEMS,90187,EE,586,1,Fall 2019,3,4:20 PM,5:40 PM,MW,Aug 21 2019,Dec 13 2019,Engineering Building,240,Yuri B Shtessel
EE DESIGN PROJECTS,90188,EE,494,1,Fall 2019,3,2:40 PM,5:40 PM,F,Aug 21 2019,Dec 13 2019,Materials Science Building,102,Dennis W Hite
