name,crn,department,number,section,term,credits,start time,end time,days,start date,end date,building,room number,instructor
PROCESS SAFETY & TOXICOLOGY,10569,CHE,485,1,Spring 2020,3,6:00 PM,7:20 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,207,Anuradha Subramanian
APPLIED MATERIALS ENGINEERING,10570,CHE,494,1,Spring 2020,3,4:20 PM,5:40 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,240,Jeffrey J Weimer
BIOSEPARATIONS RECOMBI TECH/PR,10573,CHE,561,1,Spring 2020,3,4:20 PM,5:40 PM,MW,Jan 06 2020,Apr 29 2020,TBA,TBA,Kyung-Ho Roh
APPLIED MATERIALS PROCESSING,10575,CHE,594,1,Spring 2020,3,4:20 PM,5:40 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,240,Jeffrey J Weimer
GENERAL PHYSICS LAB III,10587,PH,116,4,Spring 2020,1,6:00 PM,8:00 PM,F,Jan 06 2020,Apr 29 2020,Optics Building,302B,Themistoklis Chronis
GENERAL PHYSICS LAB III,10588,PH,116,5,Spring 2020,1,10:30 AM,12:30 PM,W,Jan 06 2020,Apr 29 2020,Optics Building,302B,Themistoklis Chronis
SPECIAL RELATIVITY,10589,PH,251,1,Spring 2020,1,4:10 PM,5:30 PM,M,Jan 06 2020,Apr 29 2020,Materials Science Building,102,James A Miller
INTERMEDIATE MECHANICS,10590,PH,301,1,Spring 2020,3,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 29 2020,Materials Science Building,112,Carol L Strong
MATH METHODS IN PHYSICS,10591,PH,305,1,Spring 2020,3,1:00 PM,1:55 PM,MWF,Jan 06 2020,Apr 29 2020,Nursing Building,101A,Massimiliano Bonamente
INTERMEDIATE LAB II,10592,PH,311,1,Spring 2020,2,2:40 PM,4:00 PM,MW,Jan 06 2020,Apr 29 2020,Optics Building,223,Seyed M Sadeghi
INTERM ELECTRIC & MAGNETISM II,10594,PH,432,1,Spring 2020,3,1:00 PM,2:20 PM,TR,Jan 06 2020,Apr 29 2020,Materials Science Building,106,Kenneth A Herren
INTRO QUANTUM MECHANICS II,10595,PH,452,1,Spring 2020,3,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 29 2020,Materials Science Building,102,Don A Gregory
INTRO TO GENERAL RELATIVITY,10596,PH,474,1,Spring 2020,3,2:40 PM,4:00 PM,MW,Jan 06 2020,Apr 29 2020,Materials Science Building,104,Richard Lieu
PHYSICS PRACTICUM,10597,PH,499,1,Spring 2020,3,2:20 PM,5:20 PM,F,Jan 06 2020,Apr 29 2020,Materials Science Building,102,Ming Sun
ELECTROMAGNETIC THEORY I,10599,PH,631,1,Spring 2020,3,6:00 PM,7:20 PM,MW,Jan 06 2020,Apr 29 2020,Materials Science Building,102,Richard Lieu
QUANTUM MECHANICS II,10600,PH,652,1,Spring 2020,3,11:20 AM,12:40 PM,MW,Jan 06 2020,Apr 29 2020,Materials Science Building,102,James A Miller
INTRO COMPUTER PROG FOR ENGR,10601,CPE,211,1,Spring 2020,3,1:00 PM,2:20 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,207,Ronald D Bowman
INTRO COMPUTER PROG FOR ENGR,10602,CPE,211,2,Spring 2020,3,1:00 PM,2:20 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,207,Ronald D Bowman
FUNDAMENTALS SOFTWARE ENGRG,10603,CPE,212,1,Spring 2020,3,1:00 PM,2:20 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,246,Joshua Christian Langford
COMPUTER ORGANIZATION,10604,CPE,221,1,Spring 2020,3,4:20 PM,5:40 PM,TR,Jan 06 2020,Apr 29 2020,Materials Science Building,100,Rhonda K Gaede
DIGITAL HDWR DESIGN FUNDMNTLS,10605,CPE,322,1,Spring 2020,3,4:20 PM,5:40 PM,MW,Jan 06 2020,Apr 29 2020,M Louis Salmon Library,111,Buren E Wells
INTRO TO EMBEDDED COMPUTER SYS,10606,CPE,323,1,Spring 2020,3,1:00 PM,2:20 PM,MW,Jan 06 2020,Apr 29 2020,M Louis Salmon Library,111,Aleksandar Milenkovic
ADV LOGIC DESIGN LABORATORY,10607,CPE,324,1,Spring 2020,1,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,226,Buren E Wells
ADV LOGIC DESIGN LABORATORY,10608,CPE,324,2,Spring 2020,1,1:00 PM,2:20 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,226,Buren E Wells
ADV LOGIC DESIGN LABORATORY,10609,CPE,324,3,Spring 2020,1,1:00 PM,4:00 PM,F,Jan 06 2020,Apr 29 2020,Engineering Building,226,Buren E Wells
ADV LOGIC DESIGN LABORATORY,10610,CPE,324,4,Spring 2020,1,9:40 AM,12:40 PM,F,Jan 06 2020,Apr 29 2020,Engineering Building,226,Buren E Wells
ADV LOGIC DESIGN LABORATORY,10611,CPE,324,5,Spring 2020,1,9:40 AM,11:00 AM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,226,Buren E Wells
EMBEDDED SYSTEMS LAB,10612,CPE,325,1,Spring 2020,1,2:40 PM,4:00 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,10613,CPE,325,2,Spring 2020,1,8:00 AM,9:20 AM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,10614,CPE,325,3,Spring 2020,1,4:20 PM,7:20 PM,F,Jan 06 2020,Apr 29 2020,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,10615,CPE,325,4,Spring 2020,1,4:20 PM,5:40 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,106,Aleksandar Milenkovic
EMBEDDED SYSTEMS LAB,10616,CPE,325,5,Spring 2020,1,11:20 AM,12:40 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,106,Aleksandar Milenkovic
INTRO TO COMPUTER NETWORKS,10617,CPE,348,1,Spring 2020,3,2:40 PM,4:00 PM,MW,Jan 06 2020,Apr 29 2020,M Louis Salmon Library,111,Jianqing Liu
FUND SIGNALS & SYS FOR COMP EN,10618,CPE,381,1,Spring 2020,3,9:40 AM,11:00 AM,MW,Jan 06 2020,Apr 29 2020,Business Administration Bldg,216,Emil Jovanov
VLSI HARDWARE DESC LANG/MODL/S,10619,CPE,426,1,Spring 2020,3,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 21 2020,Engineering Building,240,Rhonda K Gaede
OPERATING SYSTEMS,10620,CPE,434,1,Spring 2020,3,2:40 PM,4:00 PM,TR,Jan 06 2020,Apr 29 2020,Shelby Science & Technology Ct,207,Jeffrey H Kulick
OPERATING SYSTEMS LABORATORY,10621,CPE,435,1,Spring 2020,1,4:20 PM,5:40 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,246,Jeffrey H Kulick
OPERATING SYSTEMS LABORATORY,10622,CPE,435,2,Spring 2020,1,6:00 PM,7:20 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,246,Jeffrey H Kulick
COMPUTER ENGINEERING DESIGN II,10623,CPE,496,1,Spring 2020,3,6:00 PM,7:20 PM,TR,Jan 06 2020,Apr 29 2020,Shelby Science & Technology Ct,207,Buren E Wells
VLSI HARDWARE DESC LANG/MODL/S,10624,CPE,526,1,Spring 2020,3,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,240,Rhonda K Gaede
OPERATING SYSTEMS,10625,CPE,534,1,Spring 2020,3,2:40 PM,4:00 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,207,Jeffrey H Kulick
ADV COMP SYSTEMS ARCHITECTURE,10627,CPE,631,1,Spring 2020,3,6:00 PM,7:20 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,122,Aleksandar Milenkovic
ADV COMP SYSTEMS ARCHITECTURE,10628,CPE,631,91,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,Online Course,ONLINE,Aleksandar Milenkovic
DATA & DIGITAL COMMUNICATIONS,10629,CPE,641,1,Spring 2020,3,2:40 PM,4:00 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,240,Adam George Panagos
MOBILE & WIRELESS NETWORKS,10630,CPE,646,1,Spring 2020,3,2:40 PM,4:00 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,135,Seong-Moo Yoo
MOBILE & WIRELESS NETWORKS,10631,CPE,646,91,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,Online Course,ONLINE,Seong-Moo Yoo
ADV CYBERSECURITY ENGINEERING,10633,CPE,649,1,Spring 2020,3,4:20 PM,5:40 PM,TR,Jan 06 2020,Apr 21 2020,Engineering Building,107,David J Coe
ADV CYBERSECURITY ENGINEERING,10634,CPE,649,91,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,Online Course,ONLINE,David J Coe
LABORATORY,10635,CPE,211L,1,Spring 2020,0,2:40 PM,3:40 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,246,Ronald D Bowman
LABORATORY,10636,CPE,211L,2,Spring 2020,0,4:20 PM,5:20 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,246,Ronald D Bowman
LABORATORY,10637,CPE,211L,3,Spring 2020,0,11:20 AM,12:20 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,246,Ronald D Bowman
ADV CYBERSECURITY ENG LAB,10638,CPE,649L,1,Spring 2020,0,6:00 PM,7:20 PM,TR,Jan 06 2020,Apr 29 2020,Engineering Building,107,David J Coe
ADV CYBERSECURITY ENG LAB,10639,CPE,649L,91,Spring 2020,0,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,Online Course,ONLINE,David J Coe
INTRO DIGITAL LOGIC DSGN,10640,EE,202,1,Spring 2020,3,9:40 AM,11:00 AM,TR,Jan 06 2020,Apr 29 2020,Materials Science Building,112,Seong-Moo Yoo
DIGITAL LOGIC DESIGN LAB,10641,EE,203,1,Spring 2020,1,1:00 PM,4:00 PM,M,Jan 06 2020,Apr 29 2020,Engineering Building,227,Dennis W Hite
DIGITAL LOGIC DESIGN LAB,10642,EE,203,2,Spring 2020,1,6:00 PM,9:00 PM,T,Jan 06 2020,Apr 29 2020,Engineering Building,227,Dennis W Hite
DIGITAL LOGIC DESIGN LAB,10643,EE,203,3,Spring 2020,1,6:00 PM,9:00 PM,M,Jan 06 2020,Apr 29 2020,Engineering Building,227,Dennis W Hite
DIGITAL LOGIC DESIGN LAB,10644,EE,203,4,Spring 2020,1,6:00 PM,9:00 PM,R,Jan 06 2020,Apr 29 2020,Engineering Building,227,Dennis W Hite
INTRO FOREIGN LANG I:FRENCH,10645,WLC,101F,1,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,Online Course,ONLINE,Kwaku A Gyasi
DIGITAL LOGIC DESIGN LAB,10646,EE,203,5,Spring 2020,1,6:00 PM,9:00 PM,W,Jan 06 2020,Apr 29 2020,Engineering Building,227,Dennis W Hite
ELECTRICAL CIRCUIT ANALYSIS I,10648,EE,213,1,Spring 2020,3,2:40 PM,4:00 PM,MW,Jan 06 2020,Apr 29 2020,Shelby Science & Technology Ct,109,Ronald D Bowman
ELECTRICAL CIRCUIT ANALYSIS I,10649,EE,213,2,Spring 2020,3,2:40 PM,4:00 PM,TR,Jan 06 2020,Apr 29 2020,Nursing Building,205A,Laurie L Joiner
INTRO FOREIGN LANG I:RUSSIAN,10650,WLC,101R,1,Spring 2020,3,9:40 AM,11:00 AM,MW,Jan 06 2020,Apr 20 2020,Business Administration Bldg,222,Irena Buksa
ELECTRICAL CIRCUIT ANALYSIS I,10651,EE,213,3,Spring 2020,3,4:20 PM,5:40 PM,TR,Jan 06 2020,Apr 29 2020,Materials Science Building,112,Fat D Ho
INTRO FOREIGN LANG I: SPANISH,10652,WLC,101S,1,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,Online Course,ONLINE,Susana Isabel Vizcarra
INTRO FOREIGN LANG I: SPANISH,10653,WLC,101S,2,Spring 2020,3,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 21 2020,Materials Science Building,109,Susana Isabel Vizcarra
HONORS:ELEC CIRCUIT ANALYSIS I,10654,EE,213,H4,Spring 2020,3,2:40 PM,4:00 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,207,Jennifer M English
INTRO FOREIGN LANG I: SPANISH,10655,WLC,101S,3,Spring 2020,3,2:40 PM,4:00 PM,TR,Jan 06 2020,Apr 21 2020,Business Administration Bldg,223,Susana Isabel Vizcarra
INTRO FOREIGN LANG II: ARABIC,10656,WLC,102A,1,Spring 2020,3,6:00 PM,7:20 PM,TR,Jan 06 2020,Apr 29 2020,Business Administration Bldg,223,Kawthar Slaitane-Pottenger
DES & MOD ELEC CIR & SYS,10657,EE,223,1,Spring 2020,3,1:00 PM,2:20 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,109,Dennis W Hite
INTRO FOREIGN LANG II:FRENCH,10658,WLC,102F,1,Spring 2020,3,11:20 AM,12:40 PM,MW,Jan 06 2020,Apr 29 2020,Conference Training Center,131,Kwaku A Gyasi
DES & MOD ELEC CIR & SYS,10659,EE,223,2,Spring 2020,3,2:40 PM,4:00 PM,MW,Jan 06 2020,Apr 29 2020,Engineering Building,109,Dennis W Hite
ELECTRICITY & MAGNETISM,10660,EE,307,1,Spring 2020,3,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 29 2020,Shelby Science & Technology Ct,121,Junpeng Guo
INTRO FOREIGN LANG II:GERMAN,10661,WLC,102G,1,Spring 2020,3,9:40 AM,11:00 AM,MW,Jan 06 2020,Apr 29 2020,Roberts Hall,328,David S Johnson
ELECTROMAGNETIC ENGR,10662,EE,308,1,Spring 2020,3,11:20 AM,12:40 PM,TR,Jan 06 2020,Apr 29 2020,Shelby Science & Technology Ct,105,Z Maria Pour
SOLID STATE FUNDAMENTALS,10663,EE,310,1,Spring 2020,3,2:40 PM,4:00 PM,TR,Jan 06 2020,Apr 29 2020,Technology Hall,S104,Timothy B Boykin
INTRO ELECTRONIC ANAL & DESIGN,10664,EE,315,1,Spring 2020,3,9:40 AM,11:00 AM,TR,Jan 06 2020,Apr 21 2020,Business Administration Bldg,114,William Y Bishop
ELE CIRCUITS & ELTRNC DSGN LAB,10665,EE,316,1,Spring 2020,1,8:00 AM,11:00 AM,M,Jan 06 2020,Apr 29 2020,Engineering Building,225,Jennifer M English
ELE CIRCUITS & ELTRNC DSGN LAB,10666,EE,316,2,Spring 2020,1,6:00 PM,9:00 PM,M,Jan 06 2020,Apr 29 2020,Engineering Building,225,Jennifer M English
DOCTORAL DISSERTATION,10667,PH,799,25,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Ming Sun
DOCTORAL DISSERTATION,10668,PH,799,26,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Ming Sun
DOCTORAL DISSERTATION,10669,PH,799,27,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Ming Sun
DOCTORAL DISSERTATION,10670,PH,799,28,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,James H Adams
MASTER'S THESIS,10671,MAE,699,1,Spring 2020,3,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Jason T Cassibry
MASTER'S THESIS,10672,MAE,699,2,Spring 2020,6,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Jason T Cassibry
MASTER'S THESIS,10673,MAE,699,3,Spring 2020,9,TBA,TBA,TBA,Jan 06 2020,Apr 29 2020,TBA,TBA,Jason T Cassibry
